01/07/2021;step.out;tfs_gas_temp_caixa.out1;tfs_gas_temp_cl.out1;tfs_gas_temp_entrada.out1;tfs_gas_temp_saida.out1;tfs_feeder_temp_caixa.out1;tfs_feeder_temp_cl.out1;tfs_feeder_temp_entrada.out1;tfs_feeder_temp_saida.out1;tfs_ve21_temp_caixa.out1;tfs_ve21_temp_cl.out1;tfs_ve21_temp_entrada.out1;tfs_ve21_temp_saida.out1;
01:25:03;1;0.208368;0;0.0347768;0.0393303;0;-0.0149496;-0.0293669;-0.00469862;-0.00807051;1.64598e-05;0.00080779;0.00105891;
01:25:04;1;0.210352;0;0.035402;0.0403747;0;-0.0154156;-0.0298947;-0.00485416;-0.00814155;1.93865e-05;0.000829357;0.00108943;
01:25:05;1;0.212548;0;0.0360966;0.0415381;0;-0.015939;-0.0304815;-0.00502937;-0.00821975;2.28976e-05;0.000853389;0.00112356;
01:25:06;1;0.214517;0;0.0367217;0.0425876;0;-0.0164149;-0.03101;-0.0051892;-0.00828946;2.62869e-05;0.000875073;0.00115447;
01:25:07;1;0.216478;0;0.0373467;0.043639;0;-0.0168953;-0.0315386;-0.00535103;-0.00835854;2.98893e-05;0.000896803;0.00118555;
01:25:08;1;0.21865;0;0.0380408;0.0448092;0;-0.0174343;-0.0321262;-0.00553315;-0.00843457;3.41375e-05;0.000920993;0.00122029;
01:25:09;1;0.220381;0;0.0385957;0.0457465;0;-0.0178693;-0.0325963;-0.00568059;-0.00849486;3.77188e-05;0.000940375;0.00124822;
01:25:10;1;0.222322;0;0.0392196;0.046802;0;-0.0183627;-0.0331253;-0.00584828;-0.0085621;4.19386e-05;0.000962206;0.00127978;
01:25:11;1;0.224256;0;0.039843;0.0478584;0;-0.0188602;-0.0336541;-0.00601789;-0.00862874;4.6357e-05;0.00098406;0.00131149;
01:25:12;1;0.226184;0;0.0404658;0.0489153;0;-0.0193618;-0.0341829;-0.00618939;-0.00869478;5.09703e-05;0.00100593;0.00134334;
01:25:13;1;0.228104;0;0.0410878;0.0499725;0;-0.0198674;-0.0347115;-0.00636276;-0.00876024;5.5775e-05;0.00102781;0.00137532;
01:25:14;1;0.230018;1.16673e-07;0.0417091;0.0510298;0;-0.0203769;-0.0352399;-0.00653798;-0.0088251;6.07678e-05;0.0010497;0.00140742;
01:25:15;1;0.231925;3.51541e-06;0.0423296;0.0520868;0;-0.0208901;-0.0357681;-0.00671503;-0.00888939;6.59452e-05;0.00107159;0.00143964;
01:25:16;1;0.233825;1.15753e-05;0.0429491;0.0531435;0;-0.0214071;-0.0362959;-0.00689389;-0.00895309;7.13038e-05;0.00109348;0.00147197;
01:25:17;1;0.235718;2.4241e-05;0.0435677;0.0541995;0;-0.0219276;-0.0368234;-0.00707455;-0.00901623;7.68403e-05;0.00111536;0.0015044;
01:25:18;1;0.237604;4.14576e-05;0.0441851;0.0552547;0;-0.0224517;-0.0373504;-0.00725697;-0.0090788;8.25514e-05;0.00113722;0.00153693;
01:25:19;1;0.239484;6.31708e-05;0.0448014;0.0563087;0;-0.0229793;-0.037877;-0.00744114;-0.00914081;8.84339e-05;0.00115907;0.00156955;
01:25:20;1;0.241358;8.93267e-05;0.0454165;0.0573615;0;-0.0235103;-0.0384031;-0.00762705;-0.00920227;9.44845e-05;0.0011809;0.00160226;
01:25:21;1;0.243224;0.000119872;0.0460304;0.0584128;0;-0.0240445;-0.0389286;-0.00781466;-0.00926318;0.0001007;0.00120271;0.00163504;
01:25:22;1;0.24529;0.000158895;0.0467108;0.059579;0;-0.0246419;-0.0395118;-0.00802511;-0.00933021;0.000107796;0.0012269;0.00167155;
01:25:23;1;0.247143;0.000198533;0.0473217;0.0606265;0;-0.0251828;-0.0400361;-0.00821627;-0.00938997;0.00011435;0.00124864;0.00170448;
01:25:24;1;0.248989;0.000242398;0.0479312;0.061672;0;-0.0257268;-0.0405596;-0.00840909;-0.00944919;0.000121059;0.00127034;0.00173747;
01:25:25;1;0.250828;0.000290437;0.0485391;0.0627153;0;-0.0262737;-0.0410824;-0.00860354;-0.00950788;0.00012792;0.001292;0.00177052;
